┌─────────┬───────────────┬──────────┬──────────┬──────────┬────────────────────┬──────────────┬────────────────────┬──────────┬────────────────────┬────────────────────────────┬───────────────┬───────────┬───────────┬─────────────────────┬────────────┬────────────────┐
│ (index) │   datetime    │    sd    │    bu    │    uk    │       val_sd       │    val_bu    │       val_uk       │ sum_vol  │        val         │            date            │   acum_val    │ total_vol │   bu-sd   │      bu-sd_val      │ acum_busd  │ acum_busd_val  │
│   62    │ 1672053480000 │  937200  │  405500  │   6100   │    13894923300     │  6769857700  │     154340000      │ 1348800  │    20819121000     │ '2022-12-26T11:18:00.000Z' │ 2157579814800 │ 148040900 │  -531700  │     -7125065600     │ -33846000  │ -523591161200  │
│   63    │ 1672053600000 │ 1716900  │  416800  │   6500   │    22635175700     │  5379949600  │     146075000      │ 2140200  │    28161200300     │ '2022-12-26T11:20:00.000Z' │ 2185741015100 │ 150181100 │ -1300100  │    -17255226100     │ -35146100  │ -540846387300  │
│   64    │ 1672053720000 │ 2233600  │  398500  │   100    │    34580019100     │  6800422900  │      2155000       │ 2632200  │    41382597000     │ '2022-12-26T11:22:00.000Z' │ 2227123612100 │ 152813300 │ -1835100  │    -27779596200     │ -36981200  │ -568625983500  │
│   65    │ 1672053840000 │ 4341300  │  408700  │  27000   │    62255392800     │  8655523100  │     235274500      │ 4777000  │    71146190400     │ '2022-12-26T11:24:00.000Z' │ 2298269802500 │ 157590300 │ -3932600  │    -53599869700     │ -40913800  │ -622225853200  │
│   66    │ 1672053960000 │ 7780500  │  928400  │  153000  │    94257589400     │ 15617733400  │     2628069600     │ 8861900  │    112503392400    │ '2022-12-26T11:26:00.000Z' │ 2410773194900 │ 166452200 │ -6852100  │    -78639856000     │ -47765900  │ -700865709200  │
│   67    │ 1672054080000 │ 8700300  │ 1351700  │   7200   │    110978642700    │ 13599351100  │      83838000      │ 10059200 │    124661831800    │ '2022-12-26T11:28:00.000Z' │ 2535435026700 │ 176511400 │ -7348600  │    -97379291600     │ -55114500  │ -798245000800  │
│   68    │ 1672054200000 │  35300   │  19500   │   500    │     523480000      │  243295600   │      1940000       │  55300   │     768715600      │ '2022-12-26T11:30:00.000Z' │ 2536203742300 │ 176566700 │  -15800   │     -280184400      │ -55130300  │ -798525185200  │
│   69    │ 1672059600000 │ 11155300 │ 7021500  │  771200  │    113857092000    │ 90505403600  │     9105503300     │ 18948000 │    213467998900    │ '2022-12-26T13:00:00.000Z' │ 2749671741200 │ 195514700 │ -4133800  │    -23351688400     │ -59264100  │ -821876873600  │
│   70    │ 1672059720000 │ 4582400  │ 2958100  │  22200   │    47162352000     │ 39163783900  │     256750000      │ 7562700  │    86582885900     │ '2022-12-26T13:02:00.000Z' │ 2836254627100 │ 203077400 │ -1624300  │     -7998568100     │ -60888400  │ -829875441700  │
│   71    │ 1672059840000 │ 2160400  │ 1923800  │  13200   │    29869423900     │ 18556150800  │     201800000      │ 4097400  │    48627374700     │ '2022-12-26T13:04:00.000Z' │ 2884882001800 │ 207174800 │  -236600  │    -11313273100     │ -61125000  │ -841188714800  │
