"acum_busd","acum_busd_val","acum_val_bu","acum_val_sd","acum_val","accum_bu","accum_sd","avg_val_bu","avg_val_sd","avg_val","avg_vol","avg_bu","avg_sd","avg_busd","avg_busd_val","rbusd","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-44377400,-609441003000,1337019107000,1946460110000,3380407291000,90909600,135287000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.7,1087300,-508800,-10728937000,"2023-02-13T10:54:00.000Z",1676285640000,1596100,2694400,233182300,11000,41683581000,15393867000,26122804000,166910000
-44656700,-608430990000,1351419567000,1959850557000,3408239786000,91784700,136441400,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,875100,-279300,1010013000,"2023-02-13T10:56:00.000Z",1676285760000,1154400,2036000,235218300,6500,27832495000,14400460000,13390447000,41588000
-44543000,-606860902000,1362417554000,1969278456000,3428665672000,92434000,136977000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,649300,113700,1570088000,"2023-02-13T10:58:00.000Z",1676285880000,535600,1184900,236403200,0,20425886000,10997987000,9427899000,0
-44158400,-599470786000,1378053641000,1977524427000,3452554210000,93342600,137501000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.5,908600,384600,7390116000,"2023-02-13T11:00:00.000Z",1676286000000,524000,1433100,237836300,500,23888538000,15636087000,8245971000,6480000
-44552900,-604049628000,1390151576000,1994201204000,3481328922000,94137600,138690500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.3,795000,-394500,-4578842000,"2023-02-13T11:02:00.000Z",1676286120000,1189500,1984500,239820800,0,28774712000,12097935000,16676777000,0
-44548400,-603846853000,1403829087000,2007675940000,3508510560000,94939400,139487800,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0,801800,4500,202775000,"2023-02-13T11:04:00.000Z",1676286240000,797300,1605800,241426600,6700,27181638000,13677511000,13474736000,29391000
-45221900,-618575015000,1411579932000,2030154947000,3538881332000,95467600,140689500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1,528200,-673500,-14728162000,"2023-02-13T11:06:00.000Z",1676286360000,1201700,1740300,243166900,10400,30370772000,7750845000,22479007000,140920000
-45836300,-631272665000,1420351575000,2051624240000,3569145093000,96052500,141888800,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.8,584900,-614400,-12697650000,"2023-02-13T11:08:00.000Z",1676286480000,1199300,1787400,244954300,3200,30263761000,8771643000,21469293000,22825000
-46923900,-645749252000,1432032869000,2077782121000,3606986238000,96765700,143689600,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.9,713200,-1087600,-14476587000,"2023-02-13T11:10:00.000Z",1676286600000,1800800,2515000,247469300,1000,37841145000,11681294000,26157881000,1970000
-47755000,-657277740000,1442144897000,2099422637000,3638983182000,97293500,145048500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.8,527800,-831100,-11528488000,"2023-02-13T11:12:00.000Z",1676286720000,1358900,1899700,249369000,13000,31996944000,10112028000,21640516000,244400000
-48280800,-661400707000,1456380562000,2117781269000,3671657104000,98131500,146412300,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.3,838000,-525800,-4122967000,"2023-02-13T11:14:00.000Z",1676286840000,1363800,2204300,251573300,2500,32673922000,14235665000,18358632000,79625000
-48619600,-662027315000,1471572365000,2133599680000,3702793763000,98787500,147407100,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0,656000,-338800,-626608000,"2023-02-13T11:16:00.000Z",1676286960000,994800,1654600,253227900,3800,31136659000,15191803000,15818411000,126445000
-48951400,-662555260000,1484569902000,2147125162000,3729384032000,99422200,148373600,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0,634700,-331800,-527945000,"2023-02-13T11:18:00.000Z",1676287080000,966500,1605400,254833300,4200,26590269000,12997537000,13525482000,67250000
-49108900,-663361163000,1494383356000,2157744519000,3750767289000,100087200,149196100,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,665000,-157500,-805903000,"2023-02-13T11:20:00.000Z",1676287200000,822500,1555000,256388300,67500,21383257000,9813454000,10619357000,950446000
-49166500,-664397864000,1509534807000,2173932671000,3782150151000,101014300,150180800,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,927100,-57600,-1036701000,"2023-02-13T11:22:00.000Z",1676287320000,984700,1913900,258302200,2100,31382862000,15151451000,16188152000,43259000
-49244000,-665729188000,1523334533000,2189063721000,3811089108000,101781400,151025400,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,767100,-77500,-1331324000,"2023-02-13T11:24:00.000Z",1676287440000,844600,1612400,259914600,700,28938957000,13799726000,15131050000,8181000
-49972300,-673759466000,1533677704000,2207437170000,3839902678000,102337600,152309900,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.5,556200,-728300,-8030278000,"2023-02-13T11:26:00.000Z",1676287560000,1284500,1843000,261757600,2300,28813570000,10343171000,18373449000,96950000
-50323800,-675044720000,1547791950000,2222836670000,3869531336000,103072400,153396200,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0.1,734800,-351500,-1285254000,"2023-02-13T11:28:00.000Z",1676287680000,1086300,1838200,263595800,17100,29628658000,14114246000,15399500000,114912000
-50332800,-675114560000,1547791950000,2222906510000,3869601176000,103072400,153405200,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,0,0,-9000,-69840000,"2023-02-13T11:30:00.000Z",1676287800000,9000,9000,263604800,0,69840000,0,69840000,0
-53453100,-716327410000,1595791741000,2312119151000,4010289989000,106376600,159829700,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,2.7,3304200,-3120300,-41212850000,"2023-02-13T13:00:00.000Z",1676293200000,6424500,9961200,273566000,232500,140688813000,47999791000,89212641000,3476381000
-54763700,-736629990000,1614911140000,2351541130000,4068876661000,107560200,162323900,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1.3,1183600,-1310600,-20302580000,"2023-02-13T13:02:00.000Z",1676293320000,2494200,3680800,277246800,3000,58586672000,19119399000,39421979000,45294000
-56873000,-761551293000,1636224842000,2397776135000,4136671027000,108738900,165611900,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1.6,1178700,-2109300,-24921303000,"2023-02-13T13:04:00.000Z",1676293440000,3288000,4485900,281732700,19200,67794366000,21313702000,46235005000,245659000
-60491500,-816370993000,1657118619000,2473489612000,4233743029000,109970500,170462000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,3.6,1231600,-3618500,-54819700000,"2023-02-13T13:06:00.000Z",1676293560000,4850100,6110300,287843000,28600,97072002000,20893777000,75713477000,464748000
-65989800,-897165942000,1679335473000,2576501415000,4359075793000,111571200,177561000,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,5.3,1600700,-5498300,-80794949000,"2023-02-13T13:08:00.000Z",1676293680000,7099000,8710900,296553900,11200,125332764000,22216854000,103011803000,104107000
-69054400,-948910419000,1708304698000,2657215117000,4468864285000,113520100,182574500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,3.4,1948900,-3064600,-51744477000,"2023-02-13T13:10:00.000Z",1676293800000,5013500,6968500,303522400,6100,109788492000,28969225000,80713702000,105565000
-71607100,-983593623000,1742916307000,2726509930000,4573007064000,115707400,187314500,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,2.3,2187300,-2552700,-34683204000,"2023-02-13T13:12:00.000Z",1676293920000,4740000,6941800,310464200,14500,104142779000,34611609000,69294813000,236357000
-72611100,-998248092000,1774328156000,2772576248000,4650517647000,118025800,190636900,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1,2318400,-1004000,-14654469000,"2023-02-13T13:14:00.000Z",1676294040000,3322400,5644300,316108500,3500,77510583000,31411849000,46066318000,32416000
-73500100,-1018032746000,1803660121000,2821692867000,4729265595000,120084600,193584700,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,1.3,2058800,-889000,-19784654000,"2023-02-13T13:16:00.000Z",1676294160000,2947800,5023600,321132100,17000,78747948000,29331965000,49116619000,299364000
-75432200,-1047958671000,1819078335000,2867037006000,4790296728000,121042000,196474200,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,2,957400,-1932100,-29925925000,"2023-02-13T13:18:00.000Z",1676294280000,2889500,3855400,324987500,8500,61031133000,15418214000,45344139000,268780000
-78306600,-1086548060000,1837672821000,2924220881000,4866234877000,122484600,200791200,28096822982.8,43424637887.9,76532976086.2,4966180.2,1828596.6,2874162.1,-1045565.5,-15327814905.2,2.5,1442600,-2874400,-38589389000,"2023-02-13T13:20:00.000Z",1676294400000,4317000,5768100,330755600,8500,75938149000,18594486000,57183875000,159788000
