[2023-07-26T02:58:19.380] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB|Threshold                    |
[2023-07-26T02:59:49.696] [INFO] default - My Object      |310000000|3420991.646  |0.109    |82409.094  |0.135    |1000000|3378378.378  |1555209.953  |3649635.036  |0.11        |167.43      |0.135       |100         |100         |100.000    |337837.838  |29563.904  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:49.986] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:49.986] [INFO] default - My Object      |311000000|3421078.685  |0.109    |82409.094  |0.135    |1000000|3448275.862  |1555209.953  |3649635.036  |0.109       |31.31       |0.133       |100         |100         |100.000    |344827.586  |29659.271  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:50.269] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:50.270] [INFO] default - My Object      |312000000|3421427.788  |0.109    |82409.094  |0.135    |1000000|3533568.905  |1555209.953  |3649635.036  |0.109       |150.589     |0.130       |100         |100         |100.000    |353356.890  |29754.639  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:50.555] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:50.556] [INFO] default - My Object      |313000000|3421662.513  |0.109    |82409.094  |0.135    |1000000|3496503.497  |1555209.953  |3649635.036  |0.109       |24.86       |0.131       |100         |100         |100.000    |349650.350  |29850.006  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:50.842] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:50.842] [INFO] default - My Object      |314000000|3421858.483  |0.109    |82409.094  |0.135    |1000000|3484320.557  |1555209.953  |3649635.036  |0.109       |143.41      |0.131       |100         |100         |100.000    |348432.056  |29945.374  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:51.120] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:51.120] [INFO] default - My Object      |315000000|3422387.849  |0.109    |82409.094  |0.135    |1000000|3597122.302  |1555209.953  |3649635.036  |0.109       |20.31       |0.128       |100         |100         |100.000    |359712.230  |30040.741  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:51.405] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:51.405] [INFO] default - My Object      |316000000|3422654.507  |0.109    |82409.094  |0.135    |1000000|3508771.930  |1555209.953  |3649635.036  |0.109       |62.251      |0.131       |100         |100         |100.000    |350877.193  |30136.108  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:51.690] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:51.690] [INFO] default - My Object      |317000000|3422919.524  |0.109    |82409.094  |0.135    |1000000|3508771.930  |1555209.953  |3649635.036  |0.109       |23.35       |0.131       |100         |100         |100.000    |350877.193  |30231.476  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:51.972] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:51.972] [INFO] default - My Object      |318000000|3423293.467  |0.109    |82409.094  |0.135    |1000000|3546099.291  |1555209.953  |3649635.036  |0.109       |22.32       |0.129       |100         |100         |100.000    |354609.929  |30326.843  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:52.251] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:52.251] [INFO] default - My Object      |319000000|3423775.383  |0.109    |82409.094  |0.135    |1000000|3584229.391  |1555209.953  |3649635.036  |0.109       |136.43      |0.128       |100         |100         |100.000    |358422.939  |30422.211  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:52.531] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:52.531] [INFO] default - My Object      |320000000|3424217.780  |0.109    |82409.094  |0.135    |1000000|3571428.571  |1555209.953  |3649635.036  |0.109       |143.75      |0.128       |100         |100         |100.000    |357142.857  |30517.578  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:52.804] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:52.804] [INFO] default - My Object      |321000000|3424913.310  |0.109    |82409.094  |0.135    |1000000|3663003.663  |1555209.953  |3663003.663  |0.109       |43.43       |0.125       |100         |100         |100.000    |366300.366  |30612.946  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:53.094] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:53.094] [INFO] default - My Object      |322000000|3425021.805  |0.109    |82409.094  |0.135    |1000000|3460207.612  |1555209.953  |3663003.663  |0.109       |136.99      |0.133       |100         |100         |100.000    |346020.761  |30708.313  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:53.383] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:53.383] [INFO] default - My Object      |323000000|3425093.315  |0.109    |82409.094  |0.135    |1000000|3448275.862  |1555209.953  |3663003.663  |0.109       |27.96       |0.132       |100         |100         |100.000    |344827.586  |30803.680  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:53.674] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:53.674] [INFO] default - My Object      |324000000|3425128.178  |0.109    |82409.094  |0.135    |1000000|3436426.117  |1555209.953  |3663003.663  |0.12        |38.06       |0.134       |100         |100         |100.000    |343642.612  |30899.048  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:53.969] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:53.969] [INFO] default - My Object      |325000000|3425018.442  |0.109    |82409.094  |0.135    |1000000|3389830.508  |1555209.953  |3663003.663  |0.109       |128.71      |0.135       |100         |100         |100.000    |338983.051  |30994.415  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:54.254] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:54.254] [INFO] default - My Object      |326000000|3425269.241  |0.109    |82409.094  |0.135    |1000000|3508771.930  |1555209.953  |3663003.663  |0.109       |131.21      |0.131       |100         |100         |100.000    |350877.193  |31089.783  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:54.533] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:54.534] [INFO] default - My Object      |327000000|3425733.861  |0.109    |82409.094  |0.135    |1000000|3584229.391  |1555209.953  |3663003.663  |0.109       |70.25       |0.128       |100         |100         |100.000    |358422.939  |31185.150  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:54.808] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:54.808] [INFO] default - My Object      |328000000|3426338.936  |0.109    |82409.094  |0.135    |1000000|3636363.636  |1555209.953  |3663003.663  |0.109       |30.35       |0.126       |100         |100         |100.000    |363636.364  |31280.518  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:55.088] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:55.088] [INFO] default - My Object      |329000000|3426762.074  |0.109    |82409.094  |0.135    |1000000|3571428.571  |1555209.953  |3663003.663  |0.109       |182.11      |0.130       |100         |100         |100.000    |357142.857  |31375.885  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:55.365] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:55.365] [INFO] default - My Object      |330000000|3427289.533  |0.109    |82409.094  |0.135    |1000000|3610108.303  |1555209.953  |3663003.663  |0.109       |35.02       |0.128       |100         |100         |100.000    |361010.830  |31471.252  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:55.653] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:55.653] [INFO] default - My Object      |331000000|3427423.530  |0.109    |82409.094  |0.135    |1000000|3472222.222  |1555209.953  |3663003.663  |0.109       |121.06      |0.132       |100         |100         |100.000    |347222.222  |31566.620  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:55.938] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:55.938] [INFO] default - My Object      |332000000|3427662.891  |0.109    |82409.094  |0.135    |1000000|3508771.930  |1555209.953  |3663003.663  |0.109       |127.07      |0.130       |100         |100         |100.000    |350877.193  |31661.987  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:56.214] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:56.215] [INFO] default - My Object      |333000000|3428218.459  |0.109    |82409.094  |0.135    |1000000|3623188.406  |1555209.953  |3663003.663  |0.109       |121.74      |0.127       |100         |100         |100.000    |362318.841  |31757.355  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:56.494] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:56.494] [INFO] default - My Object      |334000000|3428630.088  |0.109    |82409.094  |0.135    |1000000|3571428.571  |1555209.953  |3663003.663  |0.109       |167.79      |0.129       |100         |100         |100.000    |357142.857  |31852.722  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:56.775] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:56.775] [INFO] default - My Object      |335000000|3429004.258  |0.109    |82409.094  |0.135    |1000000|3558718.861  |1555209.953  |3663003.663  |0.109       |53.61       |0.129       |100         |100         |100.000    |355871.886  |31948.090  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:57.055] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:57.055] [INFO] default - My Object      |336000000|3429411.284  |0.109    |82409.094  |0.135    |1000000|3571428.571  |1555209.953  |3663003.663  |0.109       |125.68      |0.129       |100         |100         |100.000    |357142.857  |32043.457  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:57.338] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:57.338] [INFO] default - My Object      |337000000|3429711.273  |0.109    |82409.094  |0.135    |1000000|3533568.905  |1555209.953  |3663003.663  |0.109       |135.74      |0.130       |100         |100         |100.000    |353356.890  |32138.824  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:57.621] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:57.621] [INFO] default - My Object      |338000000|3430009.539  |0.109    |82409.094  |0.135    |1000000|3533568.905  |1555209.953  |3663003.663  |0.109       |19.38       |0.130       |100         |100         |100.000    |353356.890  |32234.192  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:57.905] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:57.905] [INFO] default - My Object      |339000000|3430271.386  |0.109    |82409.094  |0.135    |1000000|3521126.761  |1555209.953  |3663003.663  |0.109       |189.63      |0.131       |100         |100         |100.000    |352112.676  |32329.559  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:58.182] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:58.183] [INFO] default - My Object      |340000000|3430774.043  |0.109    |82409.094  |0.135    |1000000|3610108.303  |1555209.953  |3663003.663  |0.109       |158.61      |0.127       |100         |100         |100.000    |361010.830  |32424.927  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:58.465] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:58.466] [INFO] default - My Object      |341000000|3431066.750  |0.109    |82409.094  |0.135    |1000000|3533568.905  |1555209.953  |3663003.663  |0.109       |130.129     |0.131       |100         |100         |100.000    |353356.890  |32520.294  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:58.747] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:58.747] [INFO] default - My Object      |342000000|3431392.222  |0.109    |82409.094  |0.135    |1000000|3546099.291  |1555209.953  |3663003.663  |0.109       |123.48      |0.130       |100         |100         |100.000    |354609.929  |32615.662  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:59.027] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:59.027] [INFO] default - My Object      |343000000|3431784.528  |0.109    |82409.094  |0.134    |1000000|3571428.571  |1555209.953  |3663003.663  |0.109       |38.13       |0.128       |100         |100         |100.000    |357142.857  |32711.029  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:59.309] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:59.309] [INFO] default - My Object      |344000000|3432106.156  |0.109    |82409.094  |0.134    |1000000|3546099.291  |1555209.953  |3663003.663  |0.109       |121.63      |0.129       |100         |100         |100.000    |354609.929  |32806.396  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:59.597] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:59.597] [INFO] default - My Object      |345000000|3432221.095  |0.109    |82409.094  |0.134    |1000000|3472222.222  |1555209.953  |3663003.663  |0.109       |139.84      |0.132       |100         |100         |100.000    |347222.222  |32901.764  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T02:59:59.881] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T02:59:59.881] [INFO] default - My Object      |346000000|3432471.578  |0.109    |82409.094  |0.134    |1000000|3521126.761  |1555209.953  |3663003.663  |0.109       |158         |0.130       |100         |100         |100.000    |352112.676  |32997.131  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:00.160] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:00.160] [INFO] default - My Object      |347000000|3432890.454  |0.109    |82409.094  |0.134    |1000000|3584229.391  |1555209.953  |3663003.663  |0.109       |119.55      |0.128       |100         |100         |100.000    |358422.939  |33092.499  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:00.437] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:00.437] [INFO] default - My Object      |348000000|3433408.645  |0.109    |82409.094  |0.134    |1000000|3623188.406  |1555209.953  |3663003.663  |0.109       |125.51      |0.127       |100         |100         |100.000    |362318.841  |33187.866  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:00.721] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:00.721] [INFO] default - My Object      |349000000|3433619.960  |0.109    |82409.094  |0.134    |1000000|3508771.930  |1555209.953  |3663003.663  |0.109       |168.83      |0.131       |100         |100         |100.000    |350877.193  |33283.234  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:01.007] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:01.007] [INFO] default - My Object      |350000000|3433796.405  |0.109    |82409.094  |0.134    |1000000|3496503.497  |1555209.953  |3663003.663  |0.109       |176.509     |0.131       |100         |100         |100.000    |349650.350  |33378.601  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:01.289] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:01.289] [INFO] default - My Object      |351000000|3434106.252  |0.109    |82409.094  |0.134    |1000000|3546099.291  |1555209.953  |3663003.663  |0.109       |201.54      |0.130       |100         |100         |100.000    |354609.929  |33473.969  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:01.578] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:01.578] [INFO] default - My Object      |352000000|3434179.846  |0.109    |82409.094  |0.134    |1000000|3460207.612  |1555209.953  |3663003.663  |0.109       |126.92      |0.132       |100         |100         |100.000    |346020.761  |33569.336  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:01.873] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:01.873] [INFO] default - My Object      |353000000|3434052.571  |0.109    |82409.094  |0.134    |1000000|3389830.508  |1555209.953  |3663003.663  |0.109       |141.12      |0.135       |100         |100         |100.000    |338983.051  |33664.703  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:02.158] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:02.158] [INFO] default - My Object      |354000000|3434259.160  |0.109    |82409.094  |0.134    |1000000|3508771.930  |1555209.953  |3663003.663  |0.109       |139.53      |0.131       |100         |100         |100.000    |350877.193  |33760.071  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:02.438] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:02.439] [INFO] default - My Object      |355000000|3434630.753  |0.109    |82409.094  |0.134    |1000000|3571428.571  |1555209.953  |3663003.663  |0.109       |148.56      |0.130       |100         |100         |100.000    |357142.857  |33855.438  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:02.724] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
[2023-07-26T03:00:02.724] [INFO] default - My Object      |356000000|3434801.486  |0.109    |82409.094  |0.134    |1000000|3496503.497  |1555209.953  |3663003.663  |0.109       |111.18      |0.131       |100         |100         |100.000    |349650.350  |33950.806  |200_300=0 0.100=0 100_200=0 5000-Max=0 1000_5000=0 300_500=0  |
[2023-07-26T03:00:03.013] [INFO] default - Metrics object | Total | avgTps      | minTime | maxTime   | avgTime | current | curTps      | minTps      | maxTps      | minCurTime | maxCurTime | avgCurTime | minCurSize | maxCurSize | avgCurSize|Throughput  | TotalMB   |Threshold                                                     |
