"acum_busd","acum_busd_val","acum_val","bu","bu-sd","bu-sd_val","date","datetime","sd","sum_vol","total_vol","uk","val","val_bu","val_sd","val_uk"
-34984700,-436875057000,7667761263000,2074500,-197800,-9680964000,"2023-01-31T13:40:00.000Z",1675172400000,2272300,4353900,423382400,7100,87315640000,38565956000,48246920000,502764000
-36697100,-466728561000,7767151187000,1974600,-1712400,-29853504000,"2023-01-31T13:42:00.000Z",1675172520000,3687000,5667400,429049800,5800,99389924000,34713766000,64567270000,108888000
-37050200,-456572989000,7860013247000,2269100,-353100,10155572000,"2023-01-31T13:44:00.000Z",1675172640000,2622200,4940200,433990000,48900,92862060000,51381638000,41226066000,254356000
-34454900,-390340831000,7977706775000,4194600,2595300,66232158000,"2023-01-31T13:46:00.000Z",1675172760000,1599300,5829100,439819100,35200,117693528000,91611903000,25379745000,701880000
-30073500,-298769881000,8129808323000,6147000,4381400,91570950000,"2023-01-31T13:48:00.000Z",1675172880000,1765600,7949100,447768200,36500,152101548000,121375640000,29804690000,921218000
-22788700,-158203704000,8329218781000,8839300,7284800,140566177000,"2023-01-31T13:50:00.000Z",1675173000000,1554500,10491400,458259600,97600,199410458000,169468240000,28902063000,1040155000
-15711200,-34463123000,8565722326000,9920100,7077500,123740581000,"2023-01-31T13:52:00.000Z",1675173120000,2842600,12882500,471142100,119800,236503545000,179497958000,55757377000,1248210000
-16996600,-53676582000,8696510294000,3032900,-1285400,-19213459000,"2023-01-31T13:54:00.000Z",1675173240000,4318300,7400700,478542800,49500,130787968000,55273049000,74486508000,1028411000
-18392800,-82477747000,8787553479000,2060400,-1396200,-28801165000,"2023-01-31T13:56:00.000Z",1675173360000,3456600,5527800,484070600,10800,91043185000,31070528000,59871693000,100964000
-20605100,-121538569000,8885330956000,1594800,-2212300,-39060822000,"2023-01-31T13:58:00.000Z",1675173480000,3807100,5407100,489477700,5200,97777477000,29268166000,68328988000,180323000
-22501700,-151333267000,8965172987000,1259600,-1896600,-29794698000,"2023-01-31T14:00:00.000Z",1675173600000,3156200,4450900,493928600,35100,79842031000,24877307000,54672005000,292719000
-20709600,-107409102000,9070786345000,3588200,1792100,43924165000,"2023-01-31T14:02:00.000Z",1675173720000,1796100,5475900,499404500,91600,105613358000,74331883000,30407718000,873757000
-19160700,-77831600000,9143956523000,2555300,1548900,29577502000,"2023-01-31T14:04:00.000Z",1675173840000,1006400,3562300,502966800,600,73170178000,51362440000,21784938000,22800000
-20289600,-110086862000,9256039196000,2146700,-1128900,-32255262000,"2023-01-31T14:06:00.000Z",1675173960000,3275600,5427500,508394300,5200,112082673000,39850366000,72105628000,126679000
-21620300,-124565484000,9326113495000,1270600,-1330700,-14478622000,"2023-01-31T14:08:00.000Z",1675174080000,2601300,3913500,512307800,41600,70074299000,27556990000,42035612000,481697000
-21808800,-141377622000,9416974352000,2017000,-188500,-16812138000,"2023-01-31T14:10:00.000Z",1675174200000,2205500,4234300,516542100,11800,90860857000,36934794000,53746932000,179131000
-22596600,-155128396000,9535294122000,2305100,-787800,-13750774000,"2023-01-31T14:12:00.000Z",1675174320000,3092900,5402500,521944600,4500,118319770000,52235549000,65986323000,97898000
-22214100,-137866206000,9646152760000,2572400,382500,17262190000,"2023-01-31T14:14:00.000Z",1675174440000,2189900,4779800,526724400,17500,110858638000,63854349000,46592159000,412130000
-20189600,-87539982000,9778400097000,3894500,2024500,50326224000,"2023-01-31T14:16:00.000Z",1675174560000,1870000,5796800,532521200,32300,132247337000,90359426000,40033202000,1854709000
-18702400,-33579554000,9894287727000,3160400,1487200,53960428000,"2023-01-31T14:18:00.000Z",1675174680000,1673200,4850600,537371800,17000,115887630000,84534774000,30574346000,778510000
-15356700,34488365000,10029399952000,4898300,3345700,68067919000,"2023-01-31T14:20:00.000Z",1675174800000,1552600,6464800,543836600,13900,135112225000,101439879000,33371960000,300386000
-10908400,127102453000,10216990824000,6858700,4448300,92614088000,"2023-01-31T14:22:00.000Z",1675174920000,2410400,9313100,553149700,44000,187590872000,139056146000,46442058000,2092668000
-2862100,284418538000,10480889692000,10735700,8046300,157316085000,"2023-01-31T14:24:00.000Z",1675175040000,2689400,13459200,566608900,34100,263898868000,210343782000,53027697000,527389000
3943400,416215086000,10705225923000,9402700,6805500,131796548000,"2023-01-31T14:26:00.000Z",1675175160000,2597200,12141900,578750800,142000,224336231000,176942889000,45146341000,2247001000
8349800,490020026000,10891134885000,7333100,4406400,73804940000,"2023-01-31T14:28:00.000Z",1675175280000,2926700,10309400,589060200,49600,185908962000,129459471000,55654531000,794960000
8417100,491323016000,10892649625000,77500,67300,1302990000,"2023-01-31T14:30:00.000Z",1675175400000,10200,87700,589147900,0,1514740000,1408865000,105875000,0
11775400,536612749000,11665595111000,6076100,3358300,45289733000,"2023-01-31T14:44:00.000Z",1675176240000,2717800,37512800,626660700,28718900,772945486000,109070403000,63780670000,600094413000
