20221214 PVD 773800 13604720000 99948215000 186900000 386950000
20221214 PVD 77600 1359870000 2920110000 124680000 738360000
20221214 PVD 782500 13759690000 101626645000 706660000 551690000
20221214 PVD 783800 13749990000 75315185000 7120000 694025000
20221214 PVD -78400 -1306830000 25668060000 8600000 
20221214 PVD 785100 13804770000 99374365000 206480000 420675000
20221214 PVD 785700 13813505000 98002150000 217340000 1169450000
20221214 PVD 785800 13791685000 78963730000 1845120000 1803425000
20221214 PVD -78900 -1315430000 25659460000 178880000 51450000
20221214 PVD 794900 13957445000 83024000000 293700000 417125000
20221214 PVD 797200 14018965000 98747210000 475260000 269800000
20221214 PVD 801900 14080870000 82313175000 807625000 307075000
20221214 PVD 80400 1408760000 3271860000 200320000 151430000
20221214 PVD 805000 14160340000 102194315000 484160000 83510000
20221214 PVD 8200 184280000 21282980000 216250000 74175000
20221214 PVD -82200 -1371975000 25750405000 8600000 73745000
20221214 PVD 822500 14436895000 74614040000 1040670000 1496935000
20221214 PVD -82400 -1375805000 25258825000  218440000
20221214 PVD 839200 14765615000 96615360000 141030000 656880000
20221214 PVD 848200 14893160000 72076435000 655095000 3463880000
20221214 PVD 858200 15103990000 95450765000 3181565000 14225000
20221214 PVD -86000 -1437700000 25337970000 8625000 70520000
20221214 PVD -86300 -1442860000 25429130000 43000000 48160000
20221214 PVD 867900 15219265000 47001450000 7718575000 1079870000
20221214 PVD 868100 15281465000 95817450000 272080000 94605000
20221214 PVD -89000 -1486865000 27055535000 495360000 49735000
20221214 PVD -92400 -1547890000 24584670000 328520000 
20221214 PVD -99600 -1676720000 12862580000 8574999.999999998 998535000
20221214 PVD "acum_busd" "acum_busd_val" "acum_val" "val_bu" "val_sd"
20221215 PVD -11100 -197865000 1468655000 1795000 199660000
20221215 PVD -14700 -255755000 14903625000 5410000 1276190000
20221215 PVD -170600 -3053965000 17795435000 46800000 2845010000
20221215 PVD -17600 -313810000 10452800000  216000000
20221215 PVD 19800 362680000 12151690000 499985000 219600000
20221215 PVD -211100 -3778055000 19137005000 156165000 64440000
20221215 PVD -216200 -3869780000 18916400000 62825000 1789999.9999999998
20221215 PVD -219600 -3930815000 18851785000 71800000 51910000
20221215 PVD -220700 -3950705000 18728075000 17950000 914690000
20221215 PVD -238200 -4259125000 20709185000 545555000 1026625000
20221215 PVD -24100 -430970000 9482490000 1331625000 271045000
20221215 PVD -248600 -4442835000 22912065000 74970000 17800000
20221215 PVD -251800 -4500005000 22819295000 852630000 298575000
20221215 PVD -261200 -4668425000 21189885000 35700000 445000000
20221215 PVD -261700 -4676010000 23184410000 19585000 252760000
20221215 PVD -282900 -5054060000 21668090000 46285000 431920000
20221215 PVD 3000 58540000 11199550000 189525000 63000000
20221215 PVD -303600 -5419735000 23928135000  743725000
20221215 PVD -314800 -5610045000 35000955000 241400000 51445000
20221215 PVD -323500 -5772955000 24281355000  353220000
20221215 PVD -325500 -5800000000 34708110000 951200000 236680000
20221215 PVD -327400 -5833695000 35224605000  223650000
20221215 PVD 33700 608560000 2501230000 919500000 113075000
20221215 PVD -337200 -6012930000 26391940000 935305000 1175280000
20221215 PVD -338600 -6029300000 37676770000 772495000 28395000
20221215 PVD -338700 -6031080000 37678550000  1780000
20221215 PVD -343100 -6115930000 27584730000 269800000 8850000
20221215 PVD -344300 -6138600000 26538850000 10620000 136290000
20221215 PVD -347200 -6189265000 27114915000 207675000 47865000
20221215 PVD -348000 -6196620000 37872570000 14240000 179780000
20221215 PVD -349800 -6235950000 26636200000  97350000
20221215 PVD -356200 -6349075000 26859375000 55025000 168150000
20221215 PVD -357800 -6376880000 27306080000 1775000 189390000
20221215 PVD -363600 -6474220000 38321210000 85520000 363120000
20221215 PVD -365800 -6514520000 33520230000 276120000 42360000
20221215 PVD -371900 -6621920000 38497470000 14280000 161980000
20221215 PVD -377900 -6728670000 38639920000 17850000 124600000
20221215 PVD -379000 -6748280000 33201750000 568170000 84720000
20221215 PVD -380400 -6773400000 36875880000 355785000 267770000
20221215 PVD -38300 -687705000 6707795000 223870000 1086165000
20221215 PVD -385300 -6861415000 36252325000  1027720000
20221215 PVD -388200 -6912390000 39278220000 154425000 7100000
20221215 PVD -390300 -6949160000 31639480000 1162890000 35400000
20221215 PVD -396500 -7059715000 39116695000 23075000 8850000
20221215 PVD -397100 -7070415000 39045745000 32040000 373785000
20221215 PVD -397200 -7072170000 39083000000 17750000 19505000
20221215 PVD -397300 -7073940000 39084770000  1770000
