20221214 VNM -345800 -26999160000 63384190000 202800000 498560000
20221214 VNM -346300 -27023950000 87975110000 436800000 3534550000
20221214 VNM -351000 -27404190000 63867220000 39000000 444030000
20221214 VNM -356100 -27720240000 122865840000 108920000 2035400000
20221214 VNM -366000 -28424630000 223309140000 383300000 2040770000
20221214 VNM -36600 -2862570000 11838310000 23579999.999999996 1067600000
20221214 VNM -368700 -28699180000 123969260000 62240000 1041180000
20221214 VNM -370200 -28783330000 163929090000 194750000 2614080000
20221214 VNM -374600 -29155670000 128943070000 1869660000 1347340000
20221214 VNM -377700 -29398330000 124901810000 116700000 815850000
20221214 VNM -381300 -29677990000 125726070000 272300000 551960000
20221214 VNM -387500 -30159440000 130429820000 241490000 1245260000
20221214 VNM -392300 -30500690000 166642550000 498050000 2215410000
20221214 VNM -39600 -3097980000 13109940000 518110000 753520000
20221214 VNM -40000 -3129250000 15452050000 15719999.999999998 1068870000
20221214 VNM -404200 -31455380000 135717360000 819000000 148010000
20221214 VNM -404300 -31434020000 168152140000 288130000 1221460000
20221214 VNM -40600 -3176390000 15593550000 47180000 94320000
20221214 VNM -406200 -31580590000 170385130000 1043210000 1189780000
20221214 VNM -406500 -31637430000 132234990000 163590000 1641580000
20221214 VNM -407700 -31675430000 232644740000 1263600000 623390000
20221214 VNM -407700 -31675430000 274548990000  
20221214 VNM -407900 -31692720000 229698030000 1318200000 693310000
20221214 VNM -412000 -32064560000 133861780000 584250000 280080000
20221214 VNM -412800 -32126370000 134750350000 413380000 475190000
20221214 VNM -415900 -32315640000 230757750000 218400000 841320000
20221214 VNM -415900 -32317610000 227686520000 242200000 4135180000
20221214 VNM -415900 -32368730000 132997450000 15580000.000000002 746880000
20221214 VNM -422900 -32880690000 172808330000 561550000 1861650000
20221214 VNM -441600 -34335250000 174730290000 233700000 1688260000
20221214 VNM -464300 -36099800000 176961640000 233400000 1997950000
20221214 VNM -479000 -37242050000 178835210000 365660000 1507910000
20221214 VNM -51700 -4048330000 17102950000 314800000 1186740000
20221214 VNM -5200 -396700000 7611580000 212490000 464250000
20221214 VNM -53100 -4158270000 17370290000 78700000 188640000
20221214 VNM -62700 -4912510000 18533250000 204360000 958600000
20221214 VNM -75700 -5932450000 20433510000 440160000 1460100000
20221214 VNM -85300 -6684840000 23791020000 1200520000 117630000
20221214 VNM -89100 -6983080000 24261960000 86350000 384590000
20221214 VNM 9800 784000000 5659620000 78900000 275800000
20221214 VNM -99100 -7767730000 22472870000 102040000 1937320000
20221214 VNM -99900 -7829640000 25453800000 172640000 1019200000
20221214 VNM "acum_busd" "acum_busd_val" "acum_val" "val_bu" "val_sd"
20221215 VNM 100900 7945620000 39997000000 307160000 857770000
20221215 VNM 107900 8496230000 38832070000 1805330000 920420000
20221215 VNM 110700 8843640000 138890360000 297130000 2061020000
20221215 VNM 112700 9000040000 139358760000 312400000 156000000
20221215 VNM 113500 8982300000 67925280000 854600000 1221170000
20221215 VNM 113600 8991530000 69593910000 838930000.0000001 829700000
20221215 VNM -115900 -8752220000 170188530000 2048470000 3331680000
20221215 VNM -117800 -8887590000 178756450000 2730940000 1396580000
20221215 VNM 118200 9348870000 65841680000 588900000 1161400000
20221215 VNM 120300 9477450000 42474150000 2004490000 472660000
20221215 VNM -121100 -9143310000 180166370000 577100000 832820000
20221215 VNM -12200 -928160000.0000002 12716440000 1179309999.9999998 234000000
20221215 VNM -123300 -9311650000 185643590000 1366280000 732660000
20221215 VNM 123700 9851180000 128165460000 125280000 2189600000
20221215 VNM 125500 9921370000 64091380000 236700000.00000003 1500080000
20221215 VNM 125600 9999870000 128704950000 344090000 195400000
20221215 VNM 126500 10003730000 71342230000 1380260000 368060000
20221215 VNM 127200 10025180000 48693140000 696630000 2014120000
20221215 VNM 131000 10417060000 119998880000 1260150000 1462530000
20221215 VNM -131400 -9945270000 183544650000 1288160000 2090120000
20221215 VNM 131900 10495340000 132280080000 751180000 836030000
20221215 VNM 133000 10580190000 130692870000 1284120000 703800000
20221215 VNM 133300 10607530000 136532210000 508300000 1546380000
20221215 VNM 133600 10619440000 117276200000 7830000 1165210000
20221215 VNM -134900 -10221950000 174628930000 1473710000 2943440000
20221215 VNM -13700 -1048150000 6511430000 2014110000 888940000
20221215 VNM 137200 10836640000 61236490000 181230000 1728760000
20221215 VNM 137600 10889310000 86958350000 243350000 328920000
20221215 VNM 138000 10880890000 51255770000 1709170000 853460000
20221215 VNM 138700 10974880000 86386080000 70470000 242670000
20221215 VNM 139200 11013350000 85501250000  383670000
20221215 VNM 140900 11147080000 86072940000 352710000 218980000
20221215 VNM 141000 11202820000 124903300000 250560000 289610000
20221215 VNM 141500 11241870000 124363130000 682080000 1425150000
20221215 VNM 141600 11184750000 62354600000 733110000 385000000
20221215 VNM 142900 11330470000 98586030000 620940000 965550000
20221215 VNM 143900 11342670000 45982390000 356080000 490130000
20221215 VNM 144100 11397020000 85117580000 243170000 289450000
20221215 VNM 144700 11443300000 84584960000 46980000 438200000
20221215 VNM 145600 11476720000 45136180000 2330650000 331380000
20221215 VNM 145900 11570020000 106524910000 251400000 392450000
20221215 VNM 146600 11645610000 134477530000 180090000 289290000
20221215 VNM 147300 11675080000 96999540000 55090000 1004800000
20221215 VNM 147700 11711070000 105881060000  889130000
20221215 VNM 148000 11754810000 134008150000 1493770000 234300000
20221215 VNM 148400 11776820000 116103160000 227360000 869130000
20221215 VNM 149700 11834520000 84099780000 23490000 305220000
20221215 VNM 150100 11915500000 125850580000 829980000 117300000
20221215 VNM 150300 11909060000 93890680000  1033880000
20221215 VNM 151000 11984940000 122255900000 1912450000 344570000
20221215 VNM 152600 12061180000 83309360000 31340000 328800000
20221215 VNM 153300 12116250000 83771070000 258390000 203320000
20221215 VNM 153700 12184040000 107657130000 873120000 259100000
20221215 VNM 156400 12358640000 82949220000 227430000 493590000
20221215 VNM 156600 12352800000 53532500000 1874320000 402410000
20221215 VNM 156600 12418590000 115006670000 141130000.00000003 987430000
20221215 VNM 156900 12384170000 59326500000 307920000 810450000
20221215 VNM 157100 12412060000 80480380000 164690000 1559100000
20221215 VNM 157400 12436140000 81444740000 494220000 470140000
20221215 VNM 159000 12600200000 104984060000 1181990000 1668440000
20221215 VNM 159400 12624790000 95939650000 1382350000 666620000
20221215 VNM 159800 12624800000 82228200000 486060000.00000006 297400000
20221215 VNM 162900 12907710000 109244300000 1155420000 431750000
20221215 VNM 163300 12886700000 58168780000 490060000 1790560000
20221215 VNM 163500 12942940000 92856800000 78400000 909390000
20221215 VNM 16400 1310950000 23292770000 39100000 226490000
20221215 VNM 165200 13086650000 102133630000 2651890000 895710000
20221215 VNM 167400 13264890000 113878110000 23550000 274400000
20221215 VNM 170600 13515740000 113580160000 321850000 556640000
20221215 VNM 171300 13568230000 110014740000 715480000 54960000
20221215 VNM 173600 13750530000 112701670000 188639999.99999997 894940000
20221215 VNM 174100 13773930000 91869010000 94200000 211950000
20221215 VNM 174900 13806470000 78756590000 313990000 493720000
20221215 VNM 175600 13891680000 91562860000 47180000 188530000
20221215 VNM 176300 13961430000 110564940000 471700000 78500000
20221215 VNM 177200 13986200000 77948880000 47140000 1100070000
20221215 VNM 177400 14033030000 91327150000  306340000
20221215 VNM 179800 14187200000 55888160000 2095030000 260630000
20221215 VNM 179800 14236570000 110965840000 338020000 62880000
20221215 VNM 181300 14339370000 91020810000 3756260000 306200000
20221215 VNM 182600 14456830000 111610240000 432330000 212070000
20221215 VNM -18300 -1406740000 7042120000 86050000 444640000
20221215 VNM 18700 1489950000 21582310000 78200000 171600000
20221215 VNM 18800 1498340000 23027180000 156400000 265539999.99999997
20221215 VNM 190600 15039130000 76801670000 5247420000 212020000
20221215 VNM 19900 1583350000 21332510000 15640000 1084520000
20221215 VNM 20200 1607220000 22011940000 273450000 156180000
20221215 VNM 20200 1607480000 22605240000 296780000 296520000
20221215 VNM -22100 -1701840000 11084640000 257820000 218680000
20221215 VNM -22100 -1702420000 9928180000 1201560000 483540000
20221215 VNM -22600 -1740980000 10608140000 320700000 359260000
20221215 VNM -2400 -162660000.00000024 13669140000 859100000 93600000
20221215 VNM -24300 -1873470000 11303130000 23429999.999999996 195060000
20221215 VNM 24700 1954089999.9999998 16160290000 2303950000 187200000
20221215 VNM 25900 2048659999.9999998 17395120000 664700000 570130000
20221215 VNM 26800 2306510000 150795900000 1603750000 3142600000
20221215 VNM -28100 -2173320000 3608380000 483530000 54350000
20221215 VNM -30300 -2342590000 8087230000 54630000 990480000
20221215 VNM -31300 -2420440000 8243080000 39000000 116850000
20221215 VNM -32600 -2526500000 2526500000  2526500000
20221215 VNM -33600 -2602500000 3070500000 234000000 310000000
20221215 VNM 33600 2652230000 20232350000 1720400000 1116830000
20221215 VNM -346700 -26647490000 202979430000  17335840000
20221215 VNM 46600 3845360000 146049550000 514320000 1558680000
20221215 VNM -50300 -3674430000 157818740000 520950000 6501890000
20221215 VNM 58800 4628760000 27282960000 3654000000 336190000
20221215 VNM 60000 4889720000 143906440000 23430000 959400000
20221215 VNM 72000 5825690000 142923610000 195250000 3369600000
20221215 VNM 87200 6858390000 30029910000 2488290000 258660000
20221215 VNM 87900 6915060000 32019480000 1023120000 966450000
20221215 VNM 88600 6970140000 32514160000 274880000 219800000
20221215 VNM 92800 7300560000 33441060000 628660000 298240000
20221215 VNM 96700 7611320000 36106320000 1488010000 1177250000
